different,same,treat
869,860.5,word
995,875,word
1056,930.5,word
1126,954,word
1044,909,word
925,856.5,word
1172.5,896.5,word
1408.5,1311,word
1028,887,word
1011,863,word
726,674,word
982,894,word
1225,1179,word
731,662,word
975.5,872.5,word
1130.5,811,word
945,909,word
747,752.5,word
656.5,659.5,word
919,833,word
751,785,word
774,735,word
941,931,word
751,785,word
767,737.5,word
813.5,750.5,word
1289.5,1140,word
1096.5,1009,word
1083,958,word
1114,1046,word
708,669,word
1201,925,word
691,601,Arabic
678,659,Arabic
833,826,Arabic
888,728,Arabic
865,839,Arabic
1059.5,797,Arabic
926,766,Arabic
854,986,Arabic
915,735,Arabic
761,657,Arabic
663,583,Arabic
831,640,Arabic
1037,905.5,Arabic
662.5,624,Arabic
814,735,Arabic
843,657,Arabic
867.5,754,Arabic
777,687.5,Arabic
572,539,Arabic
752,611,Arabic
789,735,Arabic
671,612,Arabic
901.5,700,Arabic
789,735,Arabic
724,639,Arabic
711,625,Arabic
904.5,784.5,Arabic
1076,983,Arabic
918,746.5,Arabic
1081,796,Arabic
657,572.5,Arabic
1004.5,673.5,Arabic
