spot,industry,company,worker,rate1,rate2
Seoul,a,30,462,0.003643496,0.00886597
Seoul,b,24,81,0.002914797,0.001554423
Seoul,c,58970,266500,7.161898747,5.114244351
Seoul,d,183,6083,0.022225326,0.116735266
Seoul,e,451,9139,0.054773891,0.17538116
Seoul,f,21825,379353,2.650643381,7.279939727
Seoul,g,223955,896326,27.19930531,17.20086372
Seoul,h,95412,272618,11.58777486,5.231651281
Seoul,i,130595,495092,15.86074558,9.501018627
Seoul,j,23384,357761,2.839983726,6.865580387
Seoul,k,11220,262273,1.362667525,5.033126486
Seoul,l,41282,158063,5.013693473,3.033293827
Seoul,m,41654,463519,5.058872824,8.895119802
Seoul,n,16198,496433,1.96724497,9.526752967
Seoul,o,1282,140121,0.155698731,2.688979485
Seoul,p,35377,346219,4.296531999,6.644084671
Seoul,q,28824,378366,3.500671011,7.260998792
Seoul,r,23025,91104,2.796383223,1.748323142
Seoul,s,69694,191423,8.464327137,3.673485915
Busan,a,82,3827,0.028387454,0.265374121
Busan,b,18,114,0.006231392,0.007905056
Busan,c,30656,216091,10.61275358,14.98431124
Busan,d,61,3711,0.021117496,0.257330379
Busan,e,447,6518,0.154746244,0.451975051
Busan,f,9003,100385,3.11673475,6.96095665
Busan,g,80557,232787,27.88790418,16.14205525
Busan,h,26904,110705,9.313854462,7.676572257
Busan,i,52240,162889,18.08488541,11.29514636
Busan,j,1892,17122,0.654988576,1.187283954
Busan,k,3302,51295,1.143114311,3.556928539
Busan,l,11751,36048,4.068060652,2.499661955
Busan,m,7319,46485,2.533753375,3.223390645
Busan,n,5325,82742,1.843453576,5.737545203
Busan,o,708,45485,0.245101433,3.154048047
Busan,p,12549,102104,4.344319047,7.080156576
Busan,q,9246,136523,3.200858547,9.466859439
Busan,r,7261,24700,2.513674444,1.712762158
Busan,s,29539,62584,10.22606107,4.339737122
Daegu,a,18,318,0.00854916,0.032878208
Daegu,b,6,26,0.00284972,0.002688155
Daegu,c,26961,176508,12.80521689,18.24926644
Daegu,d,77,2632,0.036571407,0.272124036
Daegu,e,341,3763,0.161959088,0.389058794
Daegu,f,6795,60332,3.227307917,6.237761139
Daegu,g,55470,165411,26.34566154,17.10194105
Daegu,h,21094,47711,10.01866567,4.932868489
Daegu,i,35154,101342,16.69650957,10.47780928
Daegu,j,1254,12984,0.595591483,1.342423434
Daegu,k,2185,33767,1.037773039,3.491190088
Daegu,l,7243,23332,3.440087011,2.41230927
Daegu,m,4839,27010,2.298299192,2.792579864
Daegu,n,3029,46468,1.438633654,4.804353985
Daegu,o,449,30055,0.213254048,3.107404214
Daegu,p,10957,77969,5.204063701,8.061260993
Daegu,q,7100,96782,3.372168684,10.00634818
Daegu,r,5971,17785,2.835946368,1.838801662
Daegu,s,21604,43011,10.26089187,4.446932711
Incheon,a,36,201,0.017778392,0.01877708
Incheon,b,32,549,0.015803015,0.05128665
Incheon,c,25235,247361,12.46215919,23.10804575
Incheon,d,67,3726,0.033087564,0.34807661
Incheon,e,495,6488,0.244452895,0.606097973
Incheon,f,6278,55565,3.100354086,5.190788208
Incheon,g,47008,146626,23.21462964,13.69755263
Incheon,h,26111,84685,12.89476673,7.911129297
Incheon,i,36043,111297,17.79962764,10.39717727
Incheon,j,1023,9902,0.505202649,0.925028072
Incheon,k,1802,25635,0.889907305,2.39477829
Incheon,l,8175,23363,4.037176594,2.182531898
Incheon,m,3840,30601,1.89636185,2.858693601
Incheon,n,3029,47082,1.495854178,4.398320713
Incheon,o,485,36806,0.239514452,3.438354194
Incheon,p,8321,73735,4.109277852,6.888198839
Incheon,q,7384,101680,3.646545807,9.498773418
Incheon,r,6882,21974,3.398636002,2.05277387
Incheon,s,20247,43178,9.998864158,4.033615643
Gwangju,a,34,383,0.028424053,0.062148589
Gwangju,b,7,51,0.005852011,0.008275661
Gwangju,c,9105,86109,7.61179431,13.97272277
Gwangju,d,206,1393,0.172216324,0.226039123
Gwangju,e,161,2056,0.134596253,0.333622711
Gwangju,f,5353,58128,4.475116413,9.432305907
Gwangju,g,31616,93051,26.43102569,15.09918623
Gwangju,h,9774,29917,8.171079362,4.854567434
Gwangju,i,20044,61476,16.7568155,9.975578688
Gwangju,j,878,8290,0.73400938,1.345200523
Gwangju,k,1557,24375,1.301654447,3.955278979
Gwangju,l,5149,19153,4.304572093,3.107916237
Gwangju,m,3238,19249,2.706973089,3.123493951
Gwangju,n,2224,30822,1.859267495,5.001419844
Gwangju,o,264,17945,0.220704415,2.911896668
Gwangju,p,6985,52745,5.839470978,8.558818041
Gwangju,q,4891,68462,4.088883687,11.10918193
Gwangju,r,4239,13327,3.543810662,2.162543711
Gwangju,s,13892,29333,11.61373383,4.759803007
Daejeon,a,14,318,0.011909116,0.051433756
Daejeon,b,3,15,0.002551954,0.002426121
Daejeon,c,8220,61879,6.992352646,10.00839438
Daejeon,d,39,1575,0.033175396,0.254742661
Daejeon,e,135,3205,0.114837908,0.518381098
Daejeon,f,4134,40488,3.516591951,6.548584682
Daejeon,g,30718,90795,26.13030275,14.6853079
Daejeon,h,12730,35058,10.82878944,5.67032903
Daejeon,i,21249,65647,18.07548679,10.61783587
Daejeon,j,1205,14399,1.025034664,2.32891402
Daejeon,k,1418,21797,1.206223364,3.525476692
Daejeon,l,4237,14646,3.604209022,2.368864139
Daejeon,m,3201,44732,2.722934406,7.235015066
Daejeon,n,2100,37968,1.786367464,6.140996424
Daejeon,o,278,26508,0.236481026,4.287440297
Daejeon,p,5739,57939,4.881887085,9.37113337
Daejeon,q,4964,61810,4.222632425,9.997234223
Daejeon,r,3856,11565,3.280110925,1.870538971
Daejeon,s,13317,27927,11.32812168,4.516951305
Ulsan,a,34,186,0.039690878,0.035288426
Ulsan,b,21,339,0.024514954,0.064316002
Ulsan,c,7299,175990,8.520697626,33.38930154
Ulsan,d,39,2471,0.045527772,0.468804842
Ulsan,e,202,2092,0.235810511,0.396899931
Ulsan,f,3263,36403,3.809156919,6.906476185
Ulsan,g,20248,57109,23.63708529,10.83487483
Ulsan,h,7536,24396,8.797366394,4.628475483
Ulsan,i,18901,52625,22.06462609,9.984158153
Ulsan,j,343,3765,0.400410917,0.714306042
Ulsan,k,941,14898,1.09850342,2.826489086
Ulsan,l,3151,9820,3.678410497,1.863077113
Ulsan,m,1897,16213,2.214517522,3.075974463
Ulsan,n,1519,18757,1.773248348,3.558629064
Ulsan,o,207,13795,0.241647405,2.617224926
Ulsan,p,4838,34878,5.647778478,6.617149037
Ulsan,q,2894,36678,3.378394154,6.958649933
Ulsan,r,3108,8567,3.62821321,1.625354544
Ulsan,s,9221,18103,10.76439962,3.434550405
Sejong,a,15,70,0.094512003,0.060561492
Sejong,b,9,116,0.056707202,0.100359043
Sejong,c,1233,20248,7.768886649,17.51784401
Sejong,d,14,483,0.088211203,0.417874292
Sejong,e,64,562,0.403251213,0.486222261
Sejong,f,544,6350,3.42763531,5.493792447
Sejong,g,2963,8811,18.669271,7.622961457
Sejong,h,942,3630,5.93535379,3.140545919
Sejong,i,3452,10997,21.7503623,9.514210321
Sejong,j,160,1312,1.008128032,1.135095384
Sejong,k,179,1803,1.127843236,1.559890989
Sejong,l,1369,4142,8.625795476,3.583509971
Sejong,m,444,6130,2.79755529,5.303456331
Sejong,n,348,4601,2.19267847,3.980620323
Sejong,o,117,18938,0.737193624,16.38447895
Sejong,p,1107,12802,6.974985823,11.07583164
Sejong,q,817,9033,5.147753765,7.815027902
Sejong,r,541,1998,3.408732909,1.728598001
Sejong,s,1553,3559,9.785142713,3.079119263
Gyeonggi,a,522,4820,0.057423721,0.093151545
Gyeonggi,b,94,1454,0.01034067,0.028100072
Gyeonggi,c,132785,1317605,14.60729655,25.46409568
