행정구역별,산업별,종사자규모별,사업체수 (개),종사자수 (명)
전국,전체 산업,계,4103172,22234776
전국,전체 산업,1 - 4명,3274152,5878444
전국,전체 산업,5 - 9명,491200,3157255
전국,전체 산업,10 - 19명,186654,2459688
전국,전체 산업,20 - 49명,100961,2998730
전국,전체 산업,50 - 99명,31235,2133060
전국,전체 산업,100 - 299명,14907,2333320
전국,전체 산업,300 - 499명,2092,792143
전국,전체 산업,500 - 999명,1275,883140
전국,전체 산업,1000명 이상,696,1598996
전국,"농업, 임업 및 어업(01~03)",계,4261,42324
전국,"농업, 임업 및 어업(01~03)",1 - 4명,2115,4720
전국,"농업, 임업 및 어업(01~03)",5 - 9명,1099,7224
전국,"농업, 임업 및 어업(01~03)",10 - 19명,556,7557
전국,"농업, 임업 및 어업(01~03)",20 - 49명,381,11422
전국,"농업, 임업 및 어업(01~03)",50 - 99명,75,5291
전국,"농업, 임업 및 어업(01~03)",100 - 299명,32,4477
전국,"농업, 임업 및 어업(01~03)",300 - 499명,2,X
전국,"농업, 임업 및 어업(01~03)",500 - 999명,1,X
전국,광업(05~08),계,1916,14998
전국,광업(05~08),1 - 4명,1336,2777
전국,광업(05~08),5 - 9명,255,1781
전국,광업(05~08),10 - 19명,137,1986
전국,광업(05~08),20 - 49명,161,4754
전국,광업(05~08),50 - 99명,20,1354
전국,광업(05~08),100 - 299명,3,373
전국,광업(05~08),300 - 499명,2,X
전국,광업(05~08),500 - 999명,2,X
전국,제조업(10~34),계,437024,4105871
전국,제조업(10~34),1 - 4명,276695,578742
전국,제조업(10~34),5 - 9명,91203,620610
전국,제조업(10~34),10 - 19명,33700,455332
전국,제조업(10~34),20 - 49명,24585,733081
전국,제조업(10~34),50 - 99명,6823,467925
전국,제조업(10~34),100 - 299명,3343,529992
전국,제조업(10~34),300 - 499명,354,134083
전국,제조업(10~34),500 - 999명,200,134992
전국,제조업(10~34),1000명 이상,121,451114
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",계,2344,65472
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",1 - 4명,1453,2579
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",5 - 9명,271,1778
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",10 - 19명,103,1434
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",20 - 49명,227,7834
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",50 - 99명,171,12041
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",100 - 299명,84,14713
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",300 - 499명,21,8004
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",500 - 999명,5,3524
전국,"전기, 가스, 증기 및 공기조절 공급업(35)",1000명 이상,9,13565
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,8972,108906
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1 - 4명,4156,9706
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5 - 9명,2007,13148
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",10 - 19명,1308,17790
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",20 - 49명,1130,35272
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",50 - 99명,282,18582
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",100 - 299명,86,12555
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",300 - 499명,2,X
전국,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",1000명 이상,1,X
전국,건설업(41~42),계,142840,1481673
전국,건설업(41~42),1 - 4명,78121,179504
전국,건설업(41~42),5 - 9명,33435,219613
전국,건설업(41~42),10 - 19명,19689,257551
전국,건설업(41~42),20 - 49명,8149,235165
전국,건설업(41~42),50 - 99명,1859,123276
전국,건설업(41~42),100 - 299명,1210,195085
전국,건설업(41~42),300 - 499명,208,76356
전국,건설업(41~42),500 - 999명,109,73904
전국,건설업(41~42),1000명 이상,60,121219
전국,도매 및 소매업(45~47),계,1027109,3250867
전국,도매 및 소매업(45~47),1 - 4명,893541,1624686
전국,도매 및 소매업(45~47),5 - 9명,93259,581971
전국,도매 및 소매업(45~47),10 - 19명,26692,346971
전국,도매 및 소매업(45~47),20 - 49명,10394,296282
전국,도매 및 소매업(45~47),50 - 99명,2053,138196
전국,도매 및 소매업(45~47),100 - 299명,1008,154947
전국,도매 및 소매업(45~47),300 - 499명,105,39230
전국,도매 및 소매업(45~47),500 - 999명,39,29182
전국,도매 및 소매업(45~47),1000명 이상,18,39402
전국,운수 및 창고업(49~52),계,400282,1145752
전국,운수 및 창고업(49~52),1 - 4명,375916,407047
전국,운수 및 창고업(49~52),5 - 9명,10048,65839
전국,운수 및 창고업(49~52),10 - 19명,6280,83883
전국,운수 및 창고업(49~52),20 - 49명,4648,141780
전국,운수 및 창고업(49~52),50 - 99명,1839,124508
전국,운수 및 창고업(49~52),100 - 299명,1390,209905
전국,운수 및 창고업(49~52),300 - 499명,102,37194
전국,운수 및 창고업(49~52),500 - 999명,42,29783
전국,운수 및 창고업(49~52),1000명 이상,17,45813
전국,숙박 및 음식점업(55~56),계,766315,2326716
전국,숙박 및 음식점업(55~56),1 - 4명,656577,1372738
전국,숙박 및 음식점업(55~56),5 - 9명,87580,540034
전국,숙박 및 음식점업(55~56),10 - 19명,17634,220541
전국,숙박 및 음식점업(55~56),20 - 49명,3749,107588
전국,숙박 및 음식점업(55~56),50 - 99명,581,37525
전국,숙박 및 음식점업(55~56),100 - 299명,148,23663
전국,숙박 및 음식점업(55~56),300 - 499명,27,10227
전국,숙박 및 음식점업(55~56),500 - 999명,15,10025
전국,숙박 및 음식점업(55~56),1000명 이상,4,4375
전국,정보통신업(58~63),계,43888,599006
전국,정보통신업(58~63),1 - 4명,25787,52253
전국,정보통신업(58~63),5 - 9명,8259,53431
전국,정보통신업(58~63),10 - 19명,4653,61655
전국,정보통신업(58~63),20 - 49명,3171,95556
전국,정보통신업(58~63),50 - 99명,1084,75110
전국,정보통신업(58~63),100 - 299명,748,123062
전국,정보통신업(58~63),300 - 499명,114,43438
전국,정보통신업(58~63),500 - 999명,47,31661
전국,정보통신업(58~63),1000명 이상,25,62840
전국,금융 및 보험업(64~66),계,43568,711494
전국,금융 및 보험업(64~66),1 - 4명,13843,30346
전국,금융 및 보험업(64~66),5 - 9명,10824,74410
전국,금융 및 보험업(64~66),10 - 19명,10505,138461
전국,금융 및 보험업(64~66),20 - 49명,6442,196676
전국,금융 및 보험업(64~66),50 - 99명,1347,86252
전국,금융 및 보험업(64~66),100 - 299명,447,68336
전국,금융 및 보험업(64~66),300 - 499명,80,30980
전국,금융 및 보험업(64~66),500 - 999명,48,32895
전국,금융 및 보험업(64~66),1000명 이상,32,53138
전국,부동산업(68),계,160152,520591
전국,부동산업(68),1 - 4명,135737,217167
전국,부동산업(68),5 - 9명,15830,101578
전국,부동산업(68),10 - 19명,6136,79175
전국,부동산업(68),20 - 49명,2001,56849
전국,부동산업(68),50 - 99명,257,17143
전국,부동산업(68),100 - 299명,155,24190
전국,부동산업(68),300 - 499명,18,7010
전국,부동산업(68),500 - 999명,11,7254
전국,부동산업(68),1000명 이상,7,10225
전국,"전문, 과학 및 기술 서비스업(70~73)",계,112301,1073828
전국,"전문, 과학 및 기술 서비스업(70~73)",1 - 4명,72764,152307
전국,"전문, 과학 및 기술 서비스업(70~73)",5 - 9명,23399,149854
전국,"전문, 과학 및 기술 서비스업(70~73)",10 - 19명,8998,117263
전국,"전문, 과학 및 기술 서비스업(70~73)",20 - 49명,4637,136485
전국,"전문, 과학 및 기술 서비스업(70~73)",50 - 99명,1337,90806
전국,"전문, 과학 및 기술 서비스업(70~73)",100 - 299명,822,132681
전국,"전문, 과학 및 기술 서비스업(70~73)",300 - 499명,184,69539
전국,"전문, 과학 및 기술 서비스업(70~73)",500 - 999명,112,76135
전국,"전문, 과학 및 기술 서비스업(70~73)",1000명 이상,48,148758
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,70542,1187986
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1 - 4명,48508,91303
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",5 - 9명,8805,56534
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",10 - 19명,5032,68079
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",20 - 49명,4410,132194
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",50 - 99명,1685,115913
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",100 - 299명,1417,240492
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",300 - 499명,320,121832
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",500 - 999명,266,184106
전국,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1000명 이상,99,177533
전국,"공공행정, 국방 및 사회보장 행정(84)",계,12521,734566
전국,"공공행정, 국방 및 사회보장 행정(84)",1 - 4명,1735,3323
전국,"공공행정, 국방 및 사회보장 행정(84)",5 - 9명,1490,10468
전국,"공공행정, 국방 및 사회보장 행정(84)",10 - 19명,3249,47971
전국,"공공행정, 국방 및 사회보장 행정(84)",20 - 49명,3751,109802
전국,"공공행정, 국방 및 사회보장 행정(84)",50 - 99명,1042,71129
전국,"공공행정, 국방 및 사회보장 행정(84)",100 - 299명,736,121138
전국,"공공행정, 국방 및 사회보장 행정(84)",300 - 499명,240,94488
전국,"공공행정, 국방 및 사회보장 행정(84)",500 - 999명,189,134978
전국,"공공행정, 국방 및 사회보장 행정(84)",1000명 이상,89,141269
전국,교육 서비스업(85),계,189800,1630311
전국,교육 서비스업(85),1 - 4명,139456,251217
전국,교육 서비스업(85),5 - 9명,23826,151812
전국,교육 서비스업(85),10 - 19명,10320,138673
전국,교육 서비스업(85),20 - 49명,8515,263651
전국,교육 서비스업(85),50 - 99명,6256,437771
전국,교육 서비스업(85),100 - 299명,1142,146028
전국,교육 서비스업(85),300 - 499명,125,47637
전국,교육 서비스업(85),500 - 999명,89,62397
전국,교육 서비스업(85),1000명 이상,71,131125
전국,보건업 및 사회복지 서비스업(86~87),계,147452,1902052
전국,보건업 및 사회복지 서비스업(86~87),1 - 4명,58938,171115
전국,보건업 및 사회복지 서비스업(86~87),5 - 9명,50392,322442
전국,보건업 및 사회복지 서비스업(86~87),10 - 19명,22252,292768
