외부기온,내부기온,내외부기온차,외부상대습도,내부상대습도,내외부상대습도차,외부CO2,내부CO2,내외부CO2차,외부풍속,외부일사량,환기율,환기창면적,작물유무,작물유무수치
16.8,27.1,10.3,45.1,39.6,5.5,543.5,608,64.5,1.576,409.4,0.704,0.04,no,0
17.2,28.3,11.1,42.5,37.6,4.9,543,580,37,1.707,442.7,0.756,0.04,no,0
17.6,29.1,11.5,42.9,33.2,9.7,522.5,585.5,63,1.342,476.5,0.634,0.04,no,0
18,30.3,12.4,41.2,32.4,8.8,543,593.5,50.5,1.802,505.7,0.798,0.04,no,0
17.9,30.6,12.7,37.2,28.8,8.4,520.5,590.5,70,2.583,536,1.084,0.04,no,0
18,31.3,13.3,37.4,27.1,10.3,529.5,585.5,56,3.66,564.9,1.493,0.04,no,0
18,31.7,13.7,35.8,25.3,10.5,527.5,583,55.5,3.171,592.1,1.308,0.04,no,0
18,32,14,38.6,24.4,14.2,522,585,63,3.242,616.5,1.337,0.04,no,0
18.3,32.7,14.5,37,23.5,13.5,526.5,578,51.5,3.313,640.1,1.365,0.04,no,0
18.3,32.6,14.3,36.1,22.6,13.5,534,592,58,3.618,664.5,1.48,0.04,no,0
19.1,33.5,14.5,35.6,22.8,12.8,526,583,57,3.266,686,1.347,0.04,no,0
19.7,35.2,15.5,35.5,22.7,12.8,510,573,63,3.351,703.4,1.383,0.04,no,0
20.3,36.6,16.3,35.1,21.2,13.9,528,594,66,3.113,718.4,1.297,0.04,no,0
20.6,37.1,16.6,33.2,19.9,13.3,529.5,590.5,61,3.503,733,1.444,0.04,no,0
20.7,36.8,16.2,33.4,19.6,13.8,536,585,49,4.336,746.8,1.761,0.04,no,0
20.7,37,16.3,33.8,18.2,15.6,525.5,601,75.5,3.762,759,1.542,0.04,no,0
21.1,37.2,16.2,34.2,19.2,15,538.5,595.5,57,3.932,768.6,1.606,0.04,no,0
21.4,38.2,16.8,32.8,18.1,14.7,515.5,584,68.5,3.751,777,1.539,0.04,no,0
21.6,38.8,17.2,33.6,17.7,15.9,526,580.5,54.5,3.823,783.5,1.568,0.04,no,0
