외부기온,내부기온,내외부기온차,외부상대습도,내부상대습도,내외부상대습도차,외부CO2,내부CO2,내외부CO2차,외부풍속,외부일사량,환기율,환기창면적,작물유무
22.9,31.1,8.3,78.7,55,23.7,469.5,462,7.5,1.398,372.7,5.4,0.15,1
22.8,29.7,6.9,77.1,58.7,18.4,464.5,459.7,4.8,1.326,309.9,5,0.15,1
23.3,29.7,6.4,75.5,58.4,17.1,457.5,451.3,6.2,0.835,291.9,4,0.15,1
23.6,29.8,6.2,72.9,57.8,15.1,453,445.7,7.3,0.943,297.5,4.2,0.15,1
24,30,6,71.2,56.4,14.8,447.5,441.7,5.8,1.481,335.4,5.2,0.15,1
25.1,33.3,8.1,66.6,49.6,17,447,440,7,1.132,549.7,4.9,0.15,1
25.9,35.6,9.7,66,43.6,22.4,447,441,6,0.396,592,4.2,0.15,1
25,34,8.9,68,44.9,23.1,447.5,442.7,4.8,0.56,424.8,4.2,0.15,1
25.9,33.7,7.8,65.6,46.4,19.2,446,449,3,0.76,389.8,4.2,0.15,1
26.8,35.9,9.1,61.8,44.1,17.7,443.5,436.3,7.2,0.792,589.9,4.5,0.15,1
26,36.5,10.5,61.1,40.6,20.5,440,433.3,6.7,0.437,577.9,4.4,0.15,1
27.1,38.2,11.1,58.9,38.3,20.6,438.5,434,4.5,0.398,640.7,4.4,0.15,1
27.9,38.9,10.9,54.7,35.7,19,434,433,1,0.463,683.6,4.5,0.15,1
28.4,39.9,11.5,54.3,33.4,20.9,431,432.3,1.3,0.755,759.7,4.9,0.15,1
27.2,36.7,9.5,57.5,38.8,18.7,431.5,435,3.5,0.857,377.8,4.6,0.15,1
26.7,34.9,8.2,58.2,41.2,17,425,429.3,4.3,1.236,365.4,5,0.15,1
27.9,37,9.1,56.5,39.9,16.6,427,427.7,0.7,0.86,501.4,4.6,0.15,1
28.1,38.9,10.8,55.3,35.8,19.5,421.5,425.3,3.8,0.983,763.9,5,0.15,1
28.4,38,9.6,53,35.8,17.2,420.5,425.7,5.2,0.889,532.9,4.7,0.15,1
28.5,38,9.5,53.3,35.4,17.9,417,424,7,0.288,558.1,4.1,0.15,1
29.7,39.5,9.7,50.8,33.9,16.9,417.5,423,5.5,1.194,702,5.2,0.15,1
29.8,37.8,8,49.5,34.3,15.2,417,424.3,7.3,0.661,497.2,4.1,0.15,1
29,37.7,8.7,50.2,37.5,12.7,416,423.3,7.3,0.383,438.1,3.9,0.15,1
29.2,38.6,9.3,50.3,35,15.3,416,418.7,2.7,1.222,556.2,5.2,0.15,1
30.1,40.7,10.6,48.7,32.1,16.6,413.5,422,8.5,0.699,743.8,4.6,0.15,1
30.1,40.3,10.1,47.3,31.7,15.6,414,422,8,0.98,608.7,4.9,0.15,1
29.4,38.9,9.5,50.2,33.4,16.8,414.5,422.3,7.8,0.763,502.2,4.5,0.15,1
30.3,40.7,10.3,48.8,33,15.8,412,422,10,0.703,567,4.6,0.15,1
31.6,43.7,12.1,45.4,27.8,17.6,413,422,9,0.468,889,4.6,0.15,1
31.5,44.4,12.9,47.9,26.4,21.5,413,424,11,1.247,823,5.8,0.15,1
31.4,42.5,11.1,47.9,28.5,19.4,410,424,14,0.927,678.7,5,0.15,1
32,43.8,11.8,43.2,27.3,15.9,411,422.3,11.3,0.918,814,5.1,0.15,1
32.9,45.9,13,41,24.9,16.1,410,422.7,12.7,0.95,872,5.3,0.15,1
32.5,45.8,13.2,41.6,24.8,16.8,409.5,424,14.5,0.865,761,5.2,0.15,1
31.9,44,12.1,41.3,24.9,16.4,408,424,16,0.553,639.8,4.7,0.15,1
32,42,10.1,41.7,27.4,14.3,409.5,424,14.5,0.492,502.3,4.3,0.15,1
30.8,40.7,9.9,44.3,29.8,14.5,407.5,423,15.5,0.811,511.5,4.6,0.15,1
31,41.4,10.4,42.3,28.5,13.8,407,421,14,1.457,638.9,5.8,0.15,1
32.1,43.1,11,39.7,26.8,12.9,410,419.7,9.7,1.205,665,5.4,0.15,1
31.4,41.2,9.8,43.4,27.7,15.7,408.5,420.7,12.2,0.583,500.4,4.3,0.15,1
31.9,40.6,8.7,42.8,28.9,13.9,409,420.7,11.7,1.016,456.1,4.7,0.15,1
31.4,41,9.6,40,29,11,407.5,417.7,10.2,0.872,444,4.7,0.15,1
31,38.8,7.9,46.4,31.6,14.8,406.5,418.3,11.8,0.941,316.6,4.4,0.15,1
31,38.1,7.1,49.1,35.5,13.6,403.5,415.3,11.8,0.654,334.8,3.9,0.15,1
29.5,35.7,6.2,56.1,41.6,14.5,403.5,415.3,11.8,1.825,234,6,0.15,1
29.3,34.8,5.4,55.5,44.3,11.2,403.5,415,11.5,2.139,250.1,6.6,0.15,1
