ValueG,DIFF_BRG,ValueR,DEFECT_RBG,PKR.B,MinG,DEFECT_SIZE_Y,PKG.B,MaxB,BlackRatio,ValueB,MeanG.B,G,PKB.R,DEFECT_LENGTH,PKR,CBlobCnt,DEFECT_SIZE_X,DEFECT_AREAR3,CTB,DEFECT_TYPE
-13.14723,-19,-13.15769,121,2.770359,37.609,5.678,-0.679217,46.92277,1.498112,-14.96788,1.894088,37.88324,-0.3351126,6.772,33.61049,0.1863527,3.691,2.191,44.9398,G
-19.49653,-19,-7.656082,93,2.24786,56.05138,8.064,-0.3141403,147.3077,1.794743,-27.60917,1.136796,67.88417,1.422851,11.675,22.67064,5.200273,8.442,6.155,91.2558,G
-52.74004,-30,-51.52297,129,1.843374,69.1557,3.045,0.1166735,175.5392,1.835849,-61.86844,1.802764,128.5183,1.000975,4.043,58.12484,2.858244,2.66,2.299,142.3713,G
-21.28891,-71,-7.529115,160,2.505637,42.64801,3.492,0.4095833,84.89392,2.113454,-9.797623,2.058749,67.23537,-1.06623,9.92,34.37201,0.6091162,9.285,3.502,53.74055,NG
-25.93095,-47,-25.53118,160,2.281065,70.44483,2.904,0.4232954,69.57097,2.13546,-19.04849,2.606597,84.59731,-0.6319174,4.203,66.94189,-0.2711601,3.038,2.578,62.75849,G
-11.0239,-24,-9.095288,110,2.543149,38.37995,5.02,-0.01648001,73.90049,1.560357,-19.82807,1.287369,53.37183,-0.1406898,6.894,42.45676,-0.1139603,4.725,2.671,68.76533,G
-40.71575,102,-38.26546,255,2.635826,33.85481,27.304,-0.08944347,131.8772,1.291544,-32.85159,2.346941,73.13683,-1.200771,156.415,43.29644,48.06574,154.013,9.543,55.60238,NG
-45.09611,-39,-56.1217,144,3.345595,116.0372,3.662,0.7900017,86.72823,1.35376,-21.44197,2.665925,136.5182,-0.8830023,5.411,134.0525,-0.5616694,3.985,2.384,78.22799,NG
-36.72747,-27,-13.79927,124,1.881828,86.38315,3.306,0.04737445,119.0433,1.653692,-51.59234,1.257596,96.5035,1.505657,4.647,40.23945,-0.2340658,3.267,2.19,108.6773,NG
-53.5769,-21,-50.59058,112,3.06252,68.34861,5.082,0.6381801,189.6633,1.625998,-57.62092,1.790631,116.3883,-1.062841,5.871,105.5437,1.184904,2.94,3.06,118.3688,NG
-7.382993,-43,-6.551689,111,1.627381,38.96919,5.294,0.1568498,74.91881,2.152471,-15.90783,1.751812,54.08679,0.07331923,7.394,24.60498,0.0496559,5.163,4.058,59.54133,G
-32.76184,-27,-22.30782,107,1.878425,88.39039,4.725,0.4318743,89.55413,2.240945,-23.71213,1.880585,102.9557,0.2601295,5.828,45.77912,-0.1784226,3.413,2.551,81.00555,G
-26.50974,-55,-17.57014,157,2.278724,60.02703,6.739,-0.4258682,165.8071,1.964668,-32.35498,1.672974,91.70382,-0.3418183,9.585,62.26629,6.089509,6.815,3.183,102.0091,G
-50.92108,-30,-41.83947,103,2.63491,89.84666,3.815,0.560518,136.4789,1.919381,-35.73652,2.152293,127.4246,-0.7622736,5.346,113.1793,5.079394,3.745,2.381,94.46461,G
-11.55168,-41,-11.47046,115,2.524826,37.62462,4.976,-0.06911974,81.75811,1.751493,-10.28631,1.825865,52.0553,-0.7677969,6.738,44.11185,-0.0683235,4.542,2.172,52.02727,G
-28.45619,-19,-13.68517,106,2.143205,71.3982,12.984,0.2921935,149.455,1.46295,-35.21999,1.601534,92.54529,0.2685717,18.205,39.70053,2.918595,12.762,2.917,106.9637,G
-10.02583,-33,-10.69599,222,2.035233,35.35919,6.454,-0.4299936,179.338,1.47192,-15.0088,1.500747,72.18325,-0.1782904,10.654,38.41111,-0.5764339,8.477,3.97,108.2216,G
-30.06765,-40,-26.69556,155,2.158095,69.00774,2.914,-0.08795581,89.52437,1.408271,-29.30522,1.905054,91.74214,-0.9682161,4.291,69.49108,-0.4634405,3.15,2.394,76.74324,G
-43.38256,-52,-46.25666,165,2.335528,80.63642,4.422,-0.1853059,159.0823,1.659094,-31.18967,2.156486,110.1933,-0.6879965,6.787,77.42836,-0.6908685,5.149,2.232,105.3412,NG
-73.83976,108,-70.80756,245,2.391791,64.73027,7.465,0.4162342,125.811,1.103894,-55.61288,2.029269,108.7949,-0.6838066,9.52,130.4304,-0.6113346,5.909,5.061,82.16022,NG
-30.08214,-39,-30.64858,126,2.498281,53.55347,6.61,0.1189755,76.47784,1.582388,-21.145,1.85396,69.84418,-0.5869348,8.084,47.22813,-0.01347526,4.653,3.276,58.05767,G
-13.9591,-34,-11.47731,121,3.028375,42.00697,6.65,-0.01131955,61.4943,2.008253,-10.53232,2.274035,53.68481,-0.4235821,7.215,35.01241,-0.679871,2.8,2.491,44.70799,G
-32.17605,-22,-37.61617,115,2.236304,71.46529,7.033,-0.7701185,121.9521,0.4828425,-45.63508,1.730972,78.47579,-0.5835814,8.661,86.90994,-0.2288029,5.055,2.851,113.6554,NG
-55.98173,-35,-35.37353,155,3.292713,82.00633,4.55,0.8041957,67.2366,1.791449,-18.6647,3.060899,110.4615,-1.596039,7.003,98.42924,-0.6585363,5.324,3.417,49.37266,NG
-46.77752,-40,-49.4566,145,3.819143,88.67017,3.276,1.761192,64.97798,1.671767,-16.07393,3.19836,121.7616,-1.035524,5.784,120.2768,-0.5646801,4.767,2.854,56.57021,NG
-22.45834,-66,-24.31473,122,2.069783,64.58627,4.89,0.005378659,179.8019,1.582865,-29.55032,1.35101,107.681,-0.5693833,5.701,54.96584,-0.3429782,2.931,3.602,126.7835,G
-46.67752,-35,-44.31163,159,2.55724,76.8652,4.871,-0.5861867,183.0736,1.092944,-50.12901,1.431526,117.6261,-0.6918846,5.479,92.64568,6.791838,2.508,2.64,128.5138,G
-78.85564,62,-53.43902,241,3.680271,91.03435,8.985,1.649043,119.3899,0.6786989,-26.45964,2.631915,152.7262,-1.339445,17.78,124.7392,0.9964359,15.343,5.317,69.10728,NG
-31.47492,-50,-19.48097,110,1.973854,53.62269,4.907,0.1982086,111.6633,2.162411,-34.4728,1.96312,68.39106,0.236579,6.784,52.36756,-0.2464469,4.685,3.099,82.17675,G
-31.65138,-25,-36.23212,112,2.302485,86.75596,6.01,0.07603386,131.4398,1.487306,-44.0597,1.546512,111.0015,0.2290745,6.98,65.20186,0.3105944,3.548,2.808,123.9839,NG
-30.72819,-42,-21.02658,134,2.294015,79.95867,4.657,-0.1305698,120.8051,2.121463,-23.38701,2.186384,116.8668,-0.04299001,6.765,56.75098,-0.2013129,4.908,4.283,95.62653,G
-56.22197,37,-52.00414,156,2.182094,67.87685,4.218,-0.104355,195.8521,1.274522,-56.85315,1.709559,134.3818,-0.245799,4.716,88.24405,16.77303,2.109,2.983,132.2627,NG
-60.10352,33,-67.57813,89,2.197108,49.93653,4.647,-0.1832276,149.4702,0.9297865,-56.14102,1.726447,97.44751,-1.106668,6.556,62.55501,-0.3779198,4.624,3.86,80.62085,NG
-50.07236,26,-41.12089,255,2.088608,18.24158,412.901,0.6055778,128.5078,1.341509,-23.30156,2.003836,96.23892,0.2918625,487.878,44.42171,146.0231,259.88,265.432,62.04449,NG
-31.5072,-28,-30.19233,171,2.43717,62.95182,3.638,-0.5969385,88.09223,1.377294,-30.31074,1.438761,82.76323,-0.4004165,5.198,68.3137,-0.6867726,3.713,2.118,79.83387,G
-23.54208246,-18,-10.52887028,131,1.456959834,63.45147338,4.55,-0.175881192,70.80941181,1.641857405,-24.90057077,1.489011084,63.76958045,1.042669346,5.812,25.97382318,-0.459722342,3.617,2.117,68.64335246,G
-16.20863,-39,-13.31967,128,2.46106,57.78311,6.989,0.3365222,111.788,1.765495,-16.31312,1.484095,77.02584,-0.3844352,8.431,44.01753,0.004898388,4.716,4.372,78.7472,G
-55.62196,-43,-79.56917,139,4.327206,110.4206,4.176,0.9329732,92.5929,1.688913,-27.8983,2.34966,145.3926,-0.9908224,5.216,177.9345,-0.06046286,3.126,2.099,83.69039,NG
-22.40902,-51,-27.24483,123,2.619302,61.78821,3.274,0.1077845,69.36705,1.675295,-18.87206,1.819655,65.72681,-1.080268,4.557,69.33612,-0.6492433,3.171,2.507,62.9154,G
