"","RMSE","method","number"
"1",3.4718704912715,"a.PKR1","50"
"2",3.48710406792501,"a.PKR1","50"
"3",3.04081628246594,"a.PKR1","50"
"4",2.53940006918994,"a.PKR1","50"
"5",3.09347318160845,"a.PKR1","50"
"6",3.60689527658565,"a.PKR1","50"
"7",3.1142909914743,"a.PKR1","50"
"8",2.83777731562378,"a.PKR1","50"
"9",3.13022209881735,"a.PKR1","50"
"10",2.89885042060153,"a.PKR1","50"
"11",4.5061024683622,"a.PKR1","50"
"12",2.55053334229597,"a.PKR1","50"
"13",2.73249091953152,"a.PKR1","50"
"14",2.88487426119935,"a.PKR1","50"
"15",2.75882248858311,"a.PKR1","50"
"16",2.6402249158473,"a.PKR1","50"
"17",2.62151731731165,"a.PKR1","50"
"18",2.68900268999673,"a.PKR1","50"
"19",3.4581437746988,"a.PKR1","50"
"20",2.97353864438907,"a.PKR1","50"
"21",2.84635793494777,"a.PKR1","50"
"22",2.92624950044474,"a.PKR1","50"
"23",3.19861435286889,"a.PKR1","50"
"24",2.66760404158133,"a.PKR1","50"
"25",2.92255040063521,"a.PKR1","50"
"26",3.50658886823214,"a.PKR1","50"
"27",3.2771873923155,"a.PKR1","50"
"28",2.49983291906892,"a.PKR1","50"
"29",3.32604500978423,"a.PKR1","50"
"30",3.89627517280201,"a.PKR1","50"
"31",2.45765689994528,"a.PKR1","50"
"32",2.6096417492975,"a.PKR1","50"
"33",3.28949931732763,"a.PKR1","50"
"34",2.80408447255568,"a.PKR1","50"
"35",3.49021773533322,"a.PKR1","50"
"36",2.76287698170794,"a.PKR1","50"
"37",3.00290208147933,"a.PKR1","50"
"38",2.83579833219635,"a.PKR1","50"
"39",2.8370801144745,"a.PKR1","50"
"40",2.60711740843874,"a.PKR1","50"
"41",3.39503580175241,"a.PKR1","50"
"42",2.89515493158003,"a.PKR1","50"
"43",2.81394121089327,"a.PKR1","50"
"44",2.8864762788556,"a.PKR1","50"
"45",2.97679464791094,"a.PKR1","50"
"46",3.42164553253121,"a.PKR1","50"
"47",2.68244700419513,"a.PKR1","50"
"48",3.33305052157458,"a.PKR1","50"
"49",4.12808630844732,"a.PKR1","50"
"50",3.35870821638519,"a.PKR1","50"
"51",2.60278863510137,"a.PKR1","50"
"52",2.93179627479469,"a.PKR1","50"
"53",2.59677331587005,"a.PKR1","50"
"54",3.04549425643483,"a.PKR1","50"
"55",3.17283174698445,"a.PKR1","50"
"56",3.45132111621908,"a.PKR1","50"
"57",2.57545370950966,"a.PKR1","50"
"58",2.42381041820328,"a.PKR1","50"
"59",3.08321602583096,"a.PKR1","50"
"60",2.99656534071487,"a.PKR1","50"
"61",2.62167548537655,"a.PKR1","50"
"62",2.82397684267353,"a.PKR1","50"
"63",3.46971283504185,"a.PKR1","50"
"64",5.16385372574936,"a.PKR1","50"
"65",3.22824947509167,"a.PKR1","50"
"66",3.38397514824753,"a.PKR1","50"
"67",2.65443433334786,"a.PKR1","50"
"68",3.18842557643184,"a.PKR1","50"
"69",2.57064983245487,"a.PKR1","50"
"70",2.74788765834315,"a.PKR1","50"
"71",3.56925854369138,"a.PKR1","50"
"72",5.73935456836149,"a.PKR1","50"
"73",2.74192197206192,"a.PKR1","50"
"74",3.55887169168323,"a.PKR1","50"
"75",2.47998486184328,"a.PKR1","50"
"76",2.90382180759386,"a.PKR1","50"
"77",2.60019400669941,"a.PKR1","50"
"78",2.96457410545187,"a.PKR1","50"
"79",2.7658185895988,"a.PKR1","50"
"80",3.38325251052691,"a.PKR1","50"
"81",2.86247833477122,"a.PKR1","50"
"82",3.28500087203791,"a.PKR1","50"
"83",2.81474658648486,"a.PKR1","50"
"84",4.01224864556303,"a.PKR1","50"
"85",2.83961498763466,"a.PKR1","50"
"86",2.63837706259333,"a.PKR1","50"
"87",2.92961118858104,"a.PKR1","50"
"88",2.58651587798117,"a.PKR1","50"
"89",2.96703693248602,"a.PKR1","50"
"90",3.10782045936289,"a.PKR1","50"
"91",3.20717298430158,"a.PKR1","50"
"92",3.34542799246971,"a.PKR1","50"
"93",3.12957462888878,"a.PKR1","50"
"94",3.0268876449143,"a.PKR1","50"
"95",3.1011974287709,"a.PKR1","50"
"96",5.58626775733204,"a.PKR1","50"
"97",3.11751064769699,"a.PKR1","50"
"98",2.83200526221556,"a.PKR1","50"
"99",2.64113653431794,"a.PKR1","50"
"100",2.64504064494833,"a.PKR1","50"
"101",3.00398706851916,"i.PKR2","50"
"102",3.06155247727728,"i.PKR2","50"
"103",2.20207212472775,"i.PKR2","50"
"104",1.87507279238633,"i.PKR2","50"
"105",2.32439254455967,"i.PKR2","50"
"106",2.8240351800949,"i.PKR2","50"
"107",2.62799957626609,"i.PKR2","50"
"108",1.96648786136692,"i.PKR2","50"
"109",2.44871836151924,"i.PKR2","50"
"110",2.42302953596869,"i.PKR2","50"
"111",3.99768130235948,"i.PKR2","50"
"112",1.88913345250074,"i.PKR2","50"
"113",1.80946141477563,"i.PKR2","50"
"114",2.22372920466345,"i.PKR2","50"
"115",1.94797889608102,"i.PKR2","50"
"116",2.01773335666413,"i.PKR2","50"
"117",1.67567441674491,"i.PKR2","50"
"118",1.65207229571409,"i.PKR2","50"
"119",2.71389113427182,"i.PKR2","50"
"120",2.21495107094689,"i.PKR2","50"
"121",2.19275819291373,"i.PKR2","50"
"122",2.27840205926897,"i.PKR2","50"
"123",2.46684528919613,"i.PKR2","50"
"124",1.95577108845896,"i.PKR2","50"
"125",2.11916839122584,"i.PKR2","50"
"126",2.93803087109486,"i.PKR2","50"
"127",2.49767420120976,"i.PKR2","50"
"128",1.92973297540439,"i.PKR2","50"
"129",2.60363289456759,"i.PKR2","50"
"130",2.99498776964755,"i.PKR2","50"
"131",1.79813145531093,"i.PKR2","50"
"132",1.98238671491097,"i.PKR2","50"
"133",2.76957685417129,"i.PKR2","50"
"134",1.73740424902862,"i.PKR2","50"
"135",3.05014520789337,"i.PKR2","50"
"136",1.96939530929457,"i.PKR2","50"
"137",2.42859734199898,"i.PKR2","50"
"138",2.03337490690385,"i.PKR2","50"
"139",1.92191396996194,"i.PKR2","50"
"140",1.90561236264861,"i.PKR2","50"
"141",2.50812729239408,"i.PKR2","50"
"142",2.16694638979718,"i.PKR2","50"
"143",2.40000183515425,"i.PKR2","50"
"144",2.15305245887265,"i.PKR2","50"
"145",2.29117574257103,"i.PKR2","50"
"146",3.02322404225493,"i.PKR2","50"
"147",1.89637832756598,"i.PKR2","50"
"148",2.81929907567944,"i.PKR2","50"
"149",3.60583549374891,"i.PKR2","50"
"150",2.60649062910016,"i.PKR2","50"
"151",1.83426691113597,"i.PKR2","50"
"152",2.14205974015166,"i.PKR2","50"
"153",2.03978839635166,"i.PKR2","50"
"154",2.94077667770515,"i.PKR2","50"
"155",2.24796355609153,"i.PKR2","50"
"156",3.28279937203525,"i.PKR2","50"
"157",1.70639444721194,"i.PKR2","50"
"158",1.50850824746623,"i.PKR2","50"
"159",2.66032985461897,"i.PKR2","50"
"160",2.36912684612257,"i.PKR2","50"
"161",1.59887866923119,"i.PKR2","50"
"162",2.23120507506312,"i.PKR2","50"
"163",2.98459107367069,"i.PKR2","50"
"164",4.6640836929736,"i.PKR2","50"
"165",2.40703219652905,"i.PKR2","50"
"166",2.92501540543688,"i.PKR2","50"
"167",2.00670023031905,"i.PKR2","50"
"168",2.64214106021244,"i.PKR2","50"
"169",1.75325685481267,"i.PKR2","50"
"170",2.04052402694031,"i.PKR2","50"
"171",2.01338145872922,"i.PKR2","50"
"172",5.24343275716416,"i.PKR2","50"
"173",2.13383103309239,"i.PKR2","50"
"174",2.86932512648578,"i.PKR2","50"
"175",1.89775361739009,"i.PKR2","50"
"176",2.0220193056519,"i.PKR2","50"
"177",1.9204550113963,"i.PKR2","50"
"178",2.19156601741107,"i.PKR2","50"
"179",1.86166711843023,"i.PKR2","50"
"180",2.72128360370876,"i.PKR2","50"
"181",2.21683599605793,"i.PKR2","50"
"182",2.56951433529762,"i.PKR2","50"
"183",1.99913017841353,"i.PKR2","50"
"184",3.5030804361297,"i.PKR2","50"
"185",1.95964362198361,"i.PKR2","50"
"186",1.92107499078215,"i.PKR2","50"
"187",2.31902141351113,"i.PKR2","50"
"188",1.58252942859989,"i.PKR2","50"
"189",2.2810479691059,"i.PKR2","50"
"190",2.3289524445157,"i.PKR2","50"
"191",2.60509939174715,"i.PKR2","50"
"192",2.8485270049215,"i.PKR2","50"
"193",2.22957210912598,"i.PKR2","50"
"194",2.28173016133385,"i.PKR2","50"
"195",2.34217252345069,"i.PKR2","50"
"196",5.39796700541595,"i.PKR2","50"
"197",2.38341825327757,"i.PKR2","50"
"198",1.93979422633005,"i.PKR2","50"
"199",1.765784752364,"i.PKR2","50"
"200",1.86757369573991,"i.PKR2","50"
"201",2.71922903893438,"e.GKR1","50"
"202",2.76042576504053,"e.GKR1","50"
"203",2.5883701033482,"e.GKR1","50"
"204",2.68021875397471,"e.GKR1","50"
"205",2.72324898281052,"e.GKR1","50"
"206",2.70079926240719,"e.GKR1","50"
"207",2.64271496923403,"e.GKR1","50"
"208",2.82342835391427,"e.GKR1","50"
"209",2.71717497585367,"e.GKR1","50"
"210",2.61865144726651,"e.GKR1","50"
"211",2.61736215474022,"e.GKR1","50"
"212",2.62391055575249,"e.GKR1","50"
"213",2.69549422772921,"e.GKR1","50"
