"","RMSE","method","number"
"1",2.41039278640106,"a.LKR1","50"
"2",2.45500345004638,"a.LKR1","50"
"3",2.4027313842065,"a.LKR1","50"
"4",2.38002895322461,"a.LKR1","50"
"5",2.41315398744512,"a.LKR1","50"
"6",2.43660615927269,"a.LKR1","50"
"7",2.44557212935243,"a.LKR1","50"
"8",2.40275197653014,"a.LKR1","50"
"9",2.28224829544531,"a.LKR1","50"
"10",2.5455222241122,"a.LKR1","50"
"11",2.46543304681674,"a.LKR1","50"
"12",2.40614098025197,"a.LKR1","50"
"13",2.31780179647546,"a.LKR1","50"
"14",2.7342315737069,"a.LKR1","50"
"15",2.38563436631156,"a.LKR1","50"
"16",2.4316325933531,"a.LKR1","50"
"17",2.50257681823413,"a.LKR1","50"
"18",2.59992172463366,"a.LKR1","50"
"19",2.40683842638327,"a.LKR1","50"
"20",2.33325243770541,"a.LKR1","50"
"21",2.3939428758521,"a.LKR1","50"
"22",2.31718542905726,"a.LKR1","50"
"23",2.4239495486048,"a.LKR1","50"
"24",2.42620006916773,"a.LKR1","50"
"25",2.35387299391044,"a.LKR1","50"
"26",2.41058185033823,"a.LKR1","50"
"27",2.55227718622848,"a.LKR1","50"
"28",2.36977470260311,"a.LKR1","50"
"29",2.52092010912966,"a.LKR1","50"
"30",2.41109750868347,"a.LKR1","50"
"31",2.40144608401329,"a.LKR1","50"
"32",2.49324340641007,"a.LKR1","50"
"33",2.33084795661784,"a.LKR1","50"
"34",2.30853150382274,"a.LKR1","50"
"35",2.49834155816689,"a.LKR1","50"
"36",2.41177746609442,"a.LKR1","50"
"37",2.41020703415902,"a.LKR1","50"
"38",2.43986257192794,"a.LKR1","50"
"39",2.44123136858822,"a.LKR1","50"
"40",2.43558737630998,"a.LKR1","50"
"41",2.48341639164045,"a.LKR1","50"
"42",2.53872587332822,"a.LKR1","50"
"43",2.3660239196823,"a.LKR1","50"
"44",2.39390078168027,"a.LKR1","50"
"45",2.44597835367626,"a.LKR1","50"
"46",2.40798602041667,"a.LKR1","50"
"47",2.37449374446693,"a.LKR1","50"
"48",2.42798154088156,"a.LKR1","50"
"49",2.5362516640821,"a.LKR1","50"
"50",2.46807479390977,"a.LKR1","50"
"51",2.47569343146217,"a.LKR1","50"
"52",2.28011030531812,"a.LKR1","50"
"53",2.51273008886955,"a.LKR1","50"
"54",2.34809583620644,"a.LKR1","50"
"55",2.52122630686618,"a.LKR1","50"
"56",2.48575593633503,"a.LKR1","50"
"57",2.59790301356972,"a.LKR1","50"
