"","RMSE","method","number"
"1",1.44259196123307,"a.PKR1","50"
"2",1.55484187412989,"a.PKR1","50"
"3",1.29649094282181,"a.PKR1","50"
"4",1.59657268151454,"a.PKR1","50"
"5",1.27597251656441,"a.PKR1","50"
"6",1.21301233188598,"a.PKR1","50"
"7",1.69205938411322,"a.PKR1","50"
"8",1.405309213323,"a.PKR1","50"
"9",1.35469669420511,"a.PKR1","50"
"10",1.61060835590108,"a.PKR1","50"
"11",2.26226399954028,"a.PKR1","50"
"12",1.33895210515356,"a.PKR1","50"
"13",1.24664138022246,"a.PKR1","50"
"14",1.60257090997089,"a.PKR1","50"
"15",1.5404079081659,"a.PKR1","50"
"16",1.61144899833625,"a.PKR1","50"
"17",1.97023437263688,"a.PKR1","50"
"18",1.12584521168712,"a.PKR1","50"
"19",1.49199299625272,"a.PKR1","50"
"20",1.53401920737016,"a.PKR1","50"
"21",1.91174753069913,"a.PKR1","50"
"22",1.56601976200574,"a.PKR1","50"
"23",1.37004469892726,"a.PKR1","50"
"24",1.47746030873454,"a.PKR1","50"
"25",1.43012743034902,"a.PKR1","50"
"26",1.2886008326522,"a.PKR1","50"
"27",1.2371320762908,"a.PKR1","50"
"28",1.35399287138583,"a.PKR1","50"
"29",1.91572400220117,"a.PKR1","50"
"30",1.1892331051082,"a.PKR1","50"
"31",1.54689137081105,"a.PKR1","50"
"32",1.5511180944581,"a.PKR1","50"
"33",1.52665992476875,"a.PKR1","50"
"34",1.40221747338571,"a.PKR1","50"
"35",2.42436732707355,"a.PKR1","50"
"36",1.45908693974765,"a.PKR1","50"
"37",2.03765326025349,"a.PKR1","50"
"38",1.35409721206342,"a.PKR1","50"
"39",1.3506987537322,"a.PKR1","50"
"40",1.29586966632704,"a.PKR1","50"
"41",1.31018559066641,"a.PKR1","50"
"42",1.38651524079617,"a.PKR1","50"
"43",1.67168289099051,"a.PKR1","50"
"44",1.41400229828115,"a.PKR1","50"
"45",1.70603208319056,"a.PKR1","50"
"46",1.58416028856892,"a.PKR1","50"
"47",1.43682936612615,"a.PKR1","50"
"48",1.25388063587386,"a.PKR1","50"
"49",1.16916427841764,"a.PKR1","50"
"50",1.7692803156814,"a.PKR1","50"
"51",1.43720491374289,"a.PKR1","50"
"52",1.18482170959697,"a.PKR1","50"
"53",1.97525804837055,"a.PKR1","50"
"54",1.83603790599207,"a.PKR1","50"
"55",1.43838987903633,"a.PKR1","50"
"56",1.89118216300803,"a.PKR1","50"
"57",1.21139058884438,"a.PKR1","50"
"58",1.34922242617035,"a.PKR1","50"
"59",1.3404171025453,"a.PKR1","50"
"60",1.72092632139382,"a.PKR1","50"
"61",1.63012929929176,"a.PKR1","50"
"62",1.50213318766848,"a.PKR1","50"
"63",1.26125585668924,"a.PKR1","50"
"64",2.78295475013961,"a.PKR1","50"
"65",1.6123117562771,"a.PKR1","50"
"66",1.6100575617044,"a.PKR1","50"
"67",1.40011751995151,"a.PKR1","50"
"68",1.4601853056146,"a.PKR1","50"
"69",1.79863677321125,"a.PKR1","50"
"70",1.33699647793257,"a.PKR1","50"
"71",1.70478111531775,"a.PKR1","50"
"72",2.38783391597872,"a.PKR1","50"
"73",1.20450897991584,"a.PKR1","50"
"74",1.57049213217774,"a.PKR1","50"
"75",1.24285417301534,"a.PKR1","50"
"76",1.37777082933035,"a.PKR1","50"
"77",1.32551497233101,"a.PKR1","50"
"78",1.56097937183137,"a.PKR1","50"
"79",1.27696499975444,"a.PKR1","50"
"80",2.53621562926321,"a.PKR1","50"
"81",1.51992282246074,"a.PKR1","50"
"82",1.4462137837938,"a.PKR1","50"
"83",1.41861892949328,"a.PKR1","50"
"84",1.95454413262955,"a.PKR1","50"
"85",2.12245473647544,"a.PKR1","50"
"86",1.29920537740666,"a.PKR1","50"
"87",1.53809429841433,"a.PKR1","50"
"88",1.48896635995214,"a.PKR1","50"
"89",1.40928628052703,"a.PKR1","50"
"90",1.74073800215261,"a.PKR1","50"
"91",1.85041495050241,"a.PKR1","50"
"92",1.59556509244939,"a.PKR1","50"
"93",1.31976634657789,"a.PKR1","50"
"94",1.48378583989554,"a.PKR1","50"
"95",1.36683759631587,"a.PKR1","50"
"96",1.60921634431024,"a.PKR1","50"
"97",1.6517483838189,"a.PKR1","50"
"98",1.41198071885198,"a.PKR1","50"
"99",1.35630128283504,"a.PKR1","50"
"100",1.61343513911357,"a.PKR1","50"
"101",1.39871317629702,"i.PKR2","50"
"102",1.51525904597,"i.PKR2","50"
"103",1.36168765420527,"i.PKR2","50"
"104",1.51418946860257,"i.PKR2","50"
"105",1.2927683627378,"i.PKR2","50"
"106",1.27546129884521,"i.PKR2","50"
"107",1.65765076475688,"i.PKR2","50"
"108",1.4310811871017,"i.PKR2","50"
"109",1.35527534195919,"i.PKR2","50"
"110",1.60056917155476,"i.PKR2","50"
"111",2.33427554438576,"i.PKR2","50"
"112",1.25918535650345,"i.PKR2","50"
"113",1.23351016099558,"i.PKR2","50"
"114",1.62982576439083,"i.PKR2","50"
"115",1.53361925296613,"i.PKR2","50"
"116",1.58421143932741,"i.PKR2","50"
"117",1.90326664705788,"i.PKR2","50"
"118",1.07311597366636,"i.PKR2","50"
"119",1.49217030107318,"i.PKR2","50"
"120",1.53381144947017,"i.PKR2","50"
"121",1.95777622196776,"i.PKR2","50"
"122",1.63364406098018,"i.PKR2","50"
"123",1.30460361816124,"i.PKR2","50"
"124",1.49622230202115,"i.PKR2","50"
"125",1.43102895423101,"i.PKR2","50"
"126",1.21911535796552,"i.PKR2","50"
"127",1.21779750895061,"i.PKR2","50"
"128",1.30657509046729,"i.PKR2","50"
"129",1.87103289278948,"i.PKR2","50"
"130",1.22389402207739,"i.PKR2","50"
"131",1.49352318618724,"i.PKR2","50"
"132",1.50389575919292,"i.PKR2","50"
"133",1.46041237224994,"i.PKR2","50"
"134",1.37454962648421,"i.PKR2","50"
"135",2.39460149781746,"i.PKR2","50"
"136",1.48334452723517,"i.PKR2","50"
"137",1.99656814624979,"i.PKR2","50"
"138",1.29785281345301,"i.PKR2","50"
"139",1.31148535164696,"i.PKR2","50"
"140",1.32436595044869,"i.PKR2","50"
"141",1.2852511797929,"i.PKR2","50"
"142",1.41070160790419,"i.PKR2","50"
"143",1.64620283146651,"i.PKR2","50"
"144",1.4172152919272,"i.PKR2","50"
"145",1.69397820891077,"i.PKR2","50"
"146",1.6167731770364,"i.PKR2","50"
"147",1.43278233708885,"i.PKR2","50"
"148",1.26901994074364,"i.PKR2","50"
"149",1.18498690517174,"i.PKR2","50"
"150",1.76337818954987,"i.PKR2","50"
"151",1.42006080412877,"i.PKR2","50"
"152",1.15562321987211,"i.PKR2","50"
"153",1.94427820808789,"i.PKR2","50"
"154",1.83632028532765,"i.PKR2","50"
"155",1.44570811219058,"i.PKR2","50"
"156",1.89404248493353,"i.PKR2","50"
"157",1.19447585128016,"i.PKR2","50"
"158",1.33138839177971,"i.PKR2","50"
"159",1.34616694527662,"i.PKR2","50"
"160",1.76545999108089,"i.PKR2","50"
"161",1.62322271369769,"i.PKR2","50"
"162",1.4865259590247,"i.PKR2","50"
"163",1.24370219159313,"i.PKR2","50"
"164",2.44375249374741,"i.PKR2","50"
"165",1.57091641745815,"i.PKR2","50"
"166",1.55106765227074,"i.PKR2","50"
"167",1.36013058828092,"i.PKR2","50"
"168",1.46133202086958,"i.PKR2","50"
"169",1.76693139029618,"i.PKR2","50"
"170",1.36318249512772,"i.PKR2","50"
"171",1.73370453347296,"i.PKR2","50"
