"","RMSE","method","number"
"1",171.750639234326,"a.GKR1","280"
"2",170.352143945069,"a.GKR1","280"
"3",203.965023991665,"a.GKR1","280"
"4",208.072609007029,"a.GKR1","280"
"5",173.085293653466,"a.GKR1","280"
"6",235.785817409158,"a.GKR1","280"
"7",202.920591224382,"a.GKR1","280"
"8",158.240407091528,"a.GKR1","280"
"9",126.887171136295,"a.GKR1","280"
"10",170.769630452173,"a.GKR1","280"
"11",232.152363336975,"a.GKR1","280"
"12",188.8395785146,"a.GKR1","280"
"13",231.031457222881,"a.GKR1","280"
"14",167.965595005459,"a.GKR1","280"
"15",149.974730177873,"a.GKR1","280"
"16",136.987283619306,"a.GKR1","280"
"17",178.527802316483,"a.GKR1","280"
"18",175.335483877542,"a.GKR1","280"
"19",222.708662454587,"a.GKR1","280"
"20",187.260259081971,"a.GKR1","280"
"21",152.524061460364,"a.GKR1","280"
"22",245.030067668777,"a.GKR1","280"
"23",186.856236753285,"a.GKR1","280"
"24",164.038131053431,"a.GKR1","280"
"25",198.192729473561,"a.GKR1","280"
"26",167.887583166841,"a.GKR1","280"
"27",168.780975287534,"a.GKR1","280"
"28",197.303066999489,"a.GKR1","280"
"29",203.817319393584,"a.GKR1","280"
"30",216.758083392934,"a.GKR1","280"
"31",173.95740583481,"a.GKR1","280"
"32",160.348049646224,"a.GKR1","280"
"33",198.296692474471,"a.GKR1","280"
"34",185.685768644623,"a.GKR1","280"
"35",156.743045740269,"a.GKR1","280"
"36",156.769961908437,"a.GKR1","280"
"37",241.857790077602,"a.GKR1","280"
"38",147.834490696265,"a.GKR1","280"
"39",209.960614551856,"a.GKR1","280"
"40",202.006880190928,"a.GKR1","280"
"41",232.371350782811,"a.GKR1","280"
"42",222.239595426096,"a.GKR1","280"
"43",212.40300484245,"a.GKR1","280"
"44",211.099867949709,"a.GKR1","280"
"45",182.589997891379,"a.GKR1","280"
"46",168.079943234866,"a.GKR1","280"
"47",221.107187206282,"a.GKR1","280"
"48",162.350605556278,"a.GKR1","280"
"49",159.674358323799,"a.GKR1","280"
"50",167.831126621107,"a.GKR1","280"
"51",189.314509420769,"a.GKR1","280"
"52",190.756293063814,"a.GKR1","280"
"53",176.095663911241,"a.GKR1","280"
"54",189.9152265768,"a.GKR1","280"
"55",173.611436219074,"a.GKR1","280"
"56",207.92977021972,"a.GKR1","280"
"57",170.51816145716,"a.GKR1","280"
"58",176.985467225639,"a.GKR1","280"
"59",206.340120463266,"a.GKR1","280"
"60",173.553477577955,"a.GKR1","280"
"61",159.632533815522,"a.GKR1","280"
"62",205.030852553048,"a.GKR1","280"
"63",164.25296766143,"a.GKR1","280"
"64",182.005100626188,"a.GKR1","280"
"65",221.902727718434,"a.GKR1","280"
"66",214.2498588,"a.GKR1","280"
