"","RMSE","method","number"
"1",508.680054444893,"a.GKR1","117"
"2",557.56644156869,"a.GKR1","117"
"3",472.448525893659,"a.GKR1","117"
"4",641.77156800645,"a.GKR1","117"
"5",464.881011519008,"a.GKR1","117"
"6",605.900474246211,"a.GKR1","117"
"7",409.269492655803,"a.GKR1","117"
"8",359.131144610006,"a.GKR1","117"
"9",522.604096440903,"a.GKR1","117"
"10",536.145226371718,"a.GKR1","117"
"11",552.645590798331,"a.GKR1","117"
"12",601.2989684615,"a.GKR1","117"
"13",407.278747717414,"a.GKR1","117"
"14",563.790060121602,"a.GKR1","117"
"15",436.196728671547,"a.GKR1","117"
"16",581.789659548702,"a.GKR1","117"
"17",520.959542117346,"a.GKR1","117"
"18",463.423203535869,"a.GKR1","117"
"19",578.419223112535,"a.GKR1","117"
"20",497.804057198683,"a.GKR1","117"
"21",457.244756195355,"a.GKR1","117"
"22",494.198666479155,"a.GKR1","117"
"23",388.499236165367,"a.GKR1","117"
"24",540.899310518947,"a.GKR1","117"
"25",555.565285008143,"a.GKR1","117"
"26",495.96128947256,"a.GKR1","117"
"27",446.059662797519,"a.GKR1","117"
"28",552.346519126339,"a.GKR1","117"
"29",585.489836430248,"a.GKR1","117"
"30",519.279664156205,"a.GKR1","117"
"31",580.09821019647,"a.GKR1","117"
"32",542.43631043263,"a.GKR1","117"
"33",509.557863928028,"a.GKR1","117"
"34",401.268827217937,"a.GKR1","117"
"35",482.666151717772,"a.GKR1","117"
"36",431.212362845162,"a.GKR1","117"
"37",585.940883328066,"a.GKR1","117"
"38",529.216870093851,"a.GKR1","117"
"39",424.753891411922,"a.GKR1","117"
"40",602.155311991646,"a.GKR1","117"
"41",551.271827937235,"a.GKR1","117"
"42",520.747475304649,"a.GKR1","117"
"43",533.754391505931,"a.GKR1","117"
"44",514.925984460757,"a.GKR1","117"
"45",594.998245317369,"a.GKR1","117"
"46",524.568869720203,"a.GKR1","117"
"47",615.93956537371,"a.GKR1","117"
"48",381.968201430375,"a.GKR1","117"
"49",434.909507761197,"a.GKR1","117"
"50",567.303244642413,"a.GKR1","117"
"51",441.378199591693,"a.GKR1","117"
"52",459.4623069382,"a.GKR1","117"
"53",420.873111668945,"a.GKR1","117"
"54",637.828178329675,"a.GKR1","117"
"55",423.632663829978,"a.GKR1","117"
"56",415.80838667292,"a.GKR1","117"
"57",538.566699898612,"a.GKR1","117"
