"","RMSE","method","number"
"1",30.02994243038,"a.GKR1","276"
"2",39.0055169416695,"a.GKR1","276"
"3",32.0184314590418,"a.GKR1","276"
"4",20.2986271247906,"a.GKR1","276"
"5",31.1468455182673,"a.GKR1","276"
"6",20.3172805190988,"a.GKR1","276"
"7",28.5735402622816,"a.GKR1","276"
"8",20.0074493237033,"a.GKR1","276"
"9",16.4227240546758,"a.GKR1","276"
"10",41.1053909418017,"a.GKR1","276"
"11",28.5476097671117,"a.GKR1","276"
"12",19.0521035015673,"a.GKR1","276"
"13",30.0802546686357,"a.GKR1","276"
"14",41.1695265346136,"a.GKR1","276"
"15",18.885590482879,"a.GKR1","276"
"16",18.615624257808,"a.GKR1","276"
"17",19.2137858022564,"a.GKR1","276"
"18",27.8395095018708,"a.GKR1","276"
"19",23.6095351533474,"a.GKR1","276"
"20",28.2396899387806,"a.GKR1","276"
"21",35.0510320072822,"a.GKR1","276"
"22",34.8909830949866,"a.GKR1","276"
"23",34.4454144956575,"a.GKR1","276"
"24",37.8654204537399,"a.GKR1","276"
"25",21.7388911668237,"a.GKR1","276"
"26",48.957099594411,"a.GKR1","276"
"27",26.7413867214885,"a.GKR1","276"
"28",36.7527206188018,"a.GKR1","276"
"29",34.6383264765319,"a.GKR1","276"
"30",41.1104382512137,"a.GKR1","276"
"31",46.5892960637741,"a.GKR1","276"
"32",28.6971208458366,"a.GKR1","276"
"33",42.5223085509219,"a.GKR1","276"
"34",32.3616445660563,"a.GKR1","276"
"35",21.5079584172122,"a.GKR1","276"
"36",23.5850878121,"a.GKR1","276"
"37",43.1553662362704,"a.GKR1","276"
"38",16.0324952689447,"a.GKR1","276"
"39",17.7011753127599,"a.GKR1","276"
"40",41.0491343782874,"a.GKR1","276"
"41",21.5663708733766,"a.GKR1","276"
"42",33.5206929939245,"a.GKR1","276"
"43",19.7803865212837,"a.GKR1","276"
"44",26.8908831130724,"a.GKR1","276"
"45",27.0869662087794,"a.GKR1","276"
"46",34.0798484562097,"a.GKR1","276"
"47",20.302992599222,"a.GKR1","276"
"48",22.2767908861746,"a.GKR1","276"
"49",28.7466425553871,"a.GKR1","276"
"50",30.2221620558424,"a.GKR1","276"
"51",29.7628984031698,"a.GKR1","276"
"52",18.2530921769136,"a.GKR1","276"
"53",21.7482091761704,"a.GKR1","276"
"54",32.3511839669879,"a.GKR1","276"
"55",21.8794956261456,"a.GKR1","276"
"56",22.5882611269573,"a.GKR1","276"
"57",43.014305512538,"a.GKR1","276"
"58",33.5501408545979,"a.GKR1","276"
"59",18.7436509140835,"a.GKR1","276"
"60",29.1676146901069,"a.GKR1","276"
"61",26.3312368493893,"a.GKR1","276"
"62",46.7483952382163,"a.GKR1","276"
"63",40.5605216132845,"a.GKR1","276"
"64",31.1755961273138,"a.GKR1","276"
"65",42.3422208057244,"a.GKR1","276"
"66",43.4679327608731,"a.GKR1","276"
"67",30.2268688817485,"a.GKR1","276"
"68",44.6308802725726,"a.GKR1","276"
"69",20.6631668756112,"a.GKR1","276"
"70",19.8426686847686,"a.GKR1","276"
"71",32.594955911473,"a.GKR1","276"
"72",18.6262533094277,"a.GKR1","276"
"73",40.3079273818237,"a.GKR1","276"
"74",29.0409929419272,"a.GKR1","276"
