"","RMSE","method","number"
"1",17.7098493827193,"a.GKR1","649"
"2",16.051061327774,"a.GKR1","649"
"3",17.8454838785445,"a.GKR1","649"
"4",15.3077275462345,"a.GKR1","649"
"5",15.5014619660209,"a.GKR1","649"
"6",17.2205413038612,"a.GKR1","649"
"7",15.7238248851921,"a.GKR1","649"
"8",17.2610818447084,"a.GKR1","649"
"9",18.3886892731939,"a.GKR1","649"
"10",14.6533172780325,"a.GKR1","649"
"11",15.02920335981,"a.GKR1","649"
"12",17.4586297984375,"a.GKR1","649"
"13",18.0244798834333,"a.GKR1","649"
"14",17.01666221454,"a.GKR1","649"
"15",16.2036467766482,"a.GKR1","649"
"16",14.4320415724944,"a.GKR1","649"
"17",15.247084520455,"a.GKR1","649"
"18",15.0324994405399,"a.GKR1","649"
"19",16.066694898604,"a.GKR1","649"
"20",17.306690010476,"a.GKR1","649"
"21",13.9439175044455,"a.GKR1","649"
"22",17.1540886943895,"a.GKR1","649"
"23",16.1263972754087,"a.GKR1","649"
"24",16.9914351369128,"a.GKR1","649"
"25",15.2497189939282,"a.GKR1","649"
"26",18.0683229750944,"a.GKR1","649"
"27",15.0692017934301,"a.GKR1","649"
"28",16.4585267764677,"a.GKR1","649"
"29",15.8289983241419,"a.GKR1","649"
"30",16.1484055559567,"a.GKR1","649"
"31",14.6916562563483,"a.GKR1","649"
"32",15.4696926288877,"a.GKR1","649"
"33",17.1590549114547,"a.GKR1","649"
"34",17.1550093288303,"a.GKR1","649"
"35",17.3464371335329,"a.GKR1","649"
"36",14.6085669724953,"a.GKR1","649"
"37",19.3062228556138,"a.GKR1","649"
"38",16.32117746335,"a.GKR1","649"
"39",16.0921517400918,"a.GKR1","649"
"40",15.1331509689367,"a.GKR1","649"
"41",16.9256341893177,"a.GKR1","649"
"42",16.6644483352191,"a.GKR1","649"
"43",14.6032812615216,"a.GKR1","649"
"44",16.0297519691177,"a.GKR1","649"
"45",15.2023221825342,"a.GKR1","649"
"46",16.5651267170032,"a.GKR1","649"
"47",15.4142390082028,"a.GKR1","649"
"48",14.5461517037311,"a.GKR1","649"
"49",18.1450680409046,"a.GKR1","649"
"50",18.0017227436723,"a.GKR1","649"
"51",15.9451704986476,"a.GKR1","649"
"52",16.7948143189946,"a.GKR1","649"
"53",15.853240057268,"a.GKR1","649"
"54",16.0047920629853,"a.GKR1","649"
"55",14.5193484599298,"a.GKR1","649"
"56",16.1836510846468,"a.GKR1","649"
"57",15.9339316112746,"a.GKR1","649"
"58",17.0574293525741,"a.GKR1","649"
"59",15.5596175717811,"a.GKR1","649"
"60",16.3603803061247,"a.GKR1","649"
"61",17.6500256349733,"a.GKR1","649"
"62",16.0142164813959,"a.GKR1","649"
"63",14.7544634689036,"a.GKR1","649"
"64",15.0886163042222,"a.GKR1","649"
"65",16.8055557925165,"a.GKR1","649"
"66",16.0608523277854,"a.GKR1","649"
"67",14.4593800475283,"a.GKR1","649"
"68",16.0742952744132,"a.GKR1","649"
"69",15.2475361846619,"a.GKR1","649"
"70",16.1320170052855,"a.GKR1","649"
"71",17.7571500095264,"a.GKR1","649"
"72",16.3412288808297,"a.GKR1","649"
"73",16.9187060843352,"a.GKR1","649"
"74",15.4448968227859,"a.GKR1","649"
"75",15.7241901318883,"a.GKR1","649"
"76",15.8670653626635,"a.GKR1","649"
"77",17.4281738020682,"a.GKR1","649"
"78",15.4439702169182,"a.GKR1","649"
"79",15.3811898615957,"a.GKR1","649"
"80",15.889548748279,"a.GKR1","649"
"81",14.6320447469192,"a.GKR1","649"
"82",17.7768825337935,"a.GKR1","649"
"83",17.7726937874439,"a.GKR1","649"
"84",16.8929614068673,"a.GKR1","649"
"85",17.016509146102,"a.GKR1","649"
"86",15.2076358916714,"a.GKR1","649"
"87",17.1359162331153,"a.GKR1","649"
"88",17.2573491237681,"a.GKR1","649"
"89",15.3010991777196,"a.GKR1","649"
"90",15.792903193236,"a.GKR1","649"
"91",15.6689306754453,"a.GKR1","649"
"92",16.6128583863213,"a.GKR1","649"
"93",16.2799986471214,"a.GKR1","649"
"94",16.1190509389051,"a.GKR1","649"
"95",14.7297026983004,"a.GKR1","649"
"96",16.3658481967518,"a.GKR1","649"
"97",15.4752108385119,"a.GKR1","649"
"98",16.2329810570416,"a.GKR1","649"
"99",15.8945787471156,"a.GKR1","649"
"100",16.4640359272868,"a.GKR1","649"
"201",16.1927111123749,"b.GKRS1","649"
"202",15.5485867622559,"b.GKRS1","649"
"203",17.8980777064319,"b.GKRS1","649"
"204",15.2844608976226,"b.GKRS1","649"
"205",15.2912231219653,"b.GKRS1","649"
"206",16.2896347515439,"b.GKRS1","649"
"207",15.9196511481799,"b.GKRS1","649"
"208",14.9349272504422,"b.GKRS1","649"
"209",15.8700417811855,"b.GKRS1","649"
"210",14.7596966482421,"b.GKRS1","649"
"211",15.2580278126257,"b.GKRS1","649"
"212",15.909975862054,"b.GKRS1","649"
"213",15.9441081216577,"b.GKRS1","649"
"214",16.8088599655038,"b.GKRS1","649"
"215",16.359300923127,"b.GKRS1","649"
"216",14.6305092987734,"b.GKRS1","649"
"217",15.3506591901544,"b.GKRS1","649"
"218",15.125046449606,"b.GKRS1","649"
"219",15.518033774009,"b.GKRS1","649"
"220",15.5791638619255,"b.GKRS1","649"
"221",13.9545127849278,"b.GKRS1","649"
"222",15.7142714283468,"b.GKRS1","649"
"223",16.2909299120023,"b.GKRS1","649"
"224",16.9394466424886,"b.GKRS1","649"
"225",15.039766843994,"b.GKRS1","649"
"226",16.0428536879389,"b.GKRS1","649"
"227",15.1776257125753,"b.GKRS1","649"
"228",17.2815143794335,"b.GKRS1","649"
"229",15.7242460963269,"b.GKRS1","649"
"230",15.6517284380927,"b.GKRS1","649"
"231",14.6174968500872,"b.GKRS1","649"
"232",15.4006498733388,"b.GKRS1","649"
"233",15.6726970042063,"b.GKRS1","649"
"234",15.6745656909659,"b.GKRS1","649"
"235",16.513306306865,"b.GKRS1","649"
"236",14.3117522722795,"b.GKRS1","649"
"237",14.9986394791112,"b.GKRS1","649"
"238",16.3815271716945,"b.GKRS1","649"
"239",15.5588696139237,"b.GKRS1","649"
"240",15.1507816628915,"b.GKRS1","649"
"241",16.5740005909976,"b.GKRS1","649"
"242",15.4603611632601,"b.GKRS1","649"
"243",14.4412042587295,"b.GKRS1","649"
"244",14.9707357519388,"b.GKRS1","649"
"245",15.2334467957272,"b.GKRS1","649"
"246",15.8534052330143,"b.GKRS1","649"
"247",15.3320489955574,"b.GKRS1","649"
