"","RMSE","method","number"
"1",3.53689092331391,"a.PKR1","50"
"2",3.31358217955775,"a.PKR1","50"
"3",3.32506050864724,"a.PKR1","50"
"4",3.72987972171647,"a.PKR1","50"
"5",3.18188936691011,"a.PKR1","50"
"6",3.86904269885289,"a.PKR1","50"
"7",3.4336838646664,"a.PKR1","50"
"8",3.22450299990915,"a.PKR1","50"
"9",3.45769716568835,"a.PKR1","50"
"10",3.372551363701,"a.PKR1","50"
"11",3.46588976236272,"a.PKR1","50"
"12",6.54172961033016,"a.PKR1","50"
"13",3.1361601424114,"a.PKR1","50"
"14",3.42803899575184,"a.PKR1","50"
"15",3.08999522445931,"a.PKR1","50"
"16",3.60317663434027,"a.PKR1","50"
"17",3.54924236918207,"a.PKR1","50"
"18",3.37178307879452,"a.PKR1","50"
"19",3.35552158225532,"a.PKR1","50"
"20",3.94988935410789,"a.PKR1","50"
"21",3.74075960240492,"a.PKR1","50"
"22",3.20400266740185,"a.PKR1","50"
"23",3.54382451290628,"a.PKR1","50"
"24",3.28639510168667,"a.PKR1","50"
"25",3.37682854328691,"a.PKR1","50"
"26",3.5830338451365,"a.PKR1","50"
"27",3.74888211467501,"a.PKR1","50"
"28",3.19536745312313,"a.PKR1","50"
"29",3.70012213043741,"a.PKR1","50"
"30",3.13598408204219,"a.PKR1","50"
"31",3.33539314975954,"a.PKR1","50"
"32",3.30491250424816,"a.PKR1","50"
"33",3.55601588839039,"a.PKR1","50"
"34",3.21316576855096,"a.PKR1","50"
"35",3.77723538998292,"a.PKR1","50"
"36",3.47146285878307,"a.PKR1","50"
"37",3.94681541990122,"a.PKR1","50"
"38",3.18117817328096,"a.PKR1","50"
"39",3.06068944386071,"a.PKR1","50"
"40",3.63046224490876,"a.PKR1","50"
"41",3.27014618194819,"a.PKR1","50"
"42",3.43777590805069,"a.PKR1","50"
"43",3.8047500456661,"a.PKR1","50"
"44",3.18053125491551,"a.PKR1","50"
"45",3.63206702430632,"a.PKR1","50"
"46",3.51942091506271,"a.PKR1","50"
"47",3.38902855059417,"a.PKR1","50"
"48",3.15433634756817,"a.PKR1","50"
"49",3.49257217657214,"a.PKR1","50"
"50",2.85660588067539,"a.PKR1","50"
"51",3.55164888497453,"a.PKR1","50"
"52",3.48044496125631,"a.PKR1","50"
"53",3.43949044342899,"a.PKR1","50"
"54",3.3990997130546,"a.PKR1","50"
"55",3.79255746089409,"a.PKR1","50"
"56",3.09483389563962,"a.PKR1","50"
"57",3.65894225327545,"a.PKR1","50"
"58",3.53521487192549,"a.PKR1","50"
"59",3.51960352975934,"a.PKR1","50"
"60",3.47285719427653,"a.PKR1","50"
"61",3.74638157189123,"a.PKR1","50"
"62",3.12383352988299,"a.PKR1","50"
"63",3.3925251533176,"a.PKR1","50"
"64",3.6156516015858,"a.PKR1","50"
"65",3.17204030497641,"a.PKR1","50"
"66",3.0756512591093,"a.PKR1","50"
"67",3.38831205964642,"a.PKR1","50"
"68",3.65052466713221,"a.PKR1","50"
"69",3.52723717161838,"a.PKR1","50"
"70",3.67919706468538,"a.PKR1","50"
"71",3.86970328729216,"a.PKR1","50"
"72",3.40534703960103,"a.PKR1","50"
"73",3.21634092696198,"a.PKR1","50"
"74",3.36032228465162,"a.PKR1","50"
"75",3.11034338210911,"a.PKR1","50"
"76",3.35612728614583,"a.PKR1","50"
"77",6.12307671042521,"a.PKR1","50"
"78",3.09745674463719,"a.PKR1","50"
"79",4.85455793659581,"a.PKR1","50"
"80",3.43662801714628,"a.PKR1","50"
"81",3.37434398715639,"a.PKR1","50"
"82",3.62466763357435,"a.PKR1","50"
"83",3.68466959778448,"a.PKR1","50"
"84",3.01532350505079,"a.PKR1","50"
"85",4.61469361586095,"a.PKR1","50"
"86",3.10985109556877,"a.PKR1","50"
"87",3.58768213805991,"a.PKR1","50"
"88",3.42609989992518,"a.PKR1","50"
"89",3.31873728460374,"a.PKR1","50"
"90",3.09573909974277,"a.PKR1","50"
"91",4.08340602012246,"a.PKR1","50"
"92",3.18039326261583,"a.PKR1","50"
"93",3.5657745819544,"a.PKR1","50"
"94",3.30258212363923,"a.PKR1","50"
"95",3.48269875549343,"a.PKR1","50"
"96",3.42653375317123,"a.PKR1","50"
"97",3.16144985983188,"a.PKR1","50"
"98",4.71364121697759,"a.PKR1","50"
"99",3.65755099193253,"a.PKR1","50"
"100",3.2700236676786,"a.PKR1","50"
"101",2.04329762579299,"i.PKR2","50"
"102",2.21611123006349,"i.PKR2","50"
"103",2.33489160134977,"i.PKR2","50"
"104",2.64021770746842,"i.PKR2","50"
"105",2.24238821615496,"i.PKR2","50"
"106",2.7287970919646,"i.PKR2","50"
"107",2.20116126226764,"i.PKR2","50"
"108",2.14479695492395,"i.PKR2","50"
"109",2.13091644039221,"i.PKR2","50"
"110",2.22440066718623,"i.PKR2","50"
"111",2.33696101630324,"i.PKR2","50"
"112",1.96668557075424,"i.PKR2","50"
"113",2.13167886615838,"i.PKR2","50"
"114",2.15554909794228,"i.PKR2","50"
"115",1.84159624966639,"i.PKR2","50"
"116",2.1004628309059,"i.PKR2","50"
"117",2.73810977190459,"i.PKR2","50"
