"","RMSE","method","number"
"1",1.82206187345681,"a.PKR1","50"
"2",1.65025211336317,"a.PKR1","50"
"3",1.81402954439769,"a.PKR1","50"
"4",1.71718545764507,"a.PKR1","50"
"5",1.7858687576503,"a.PKR1","50"
"6",1.87755009700959,"a.PKR1","50"
"7",1.85387773754466,"a.PKR1","50"
"8",1.5492612106806,"a.PKR1","50"
"9",1.78480127357539,"a.PKR1","50"
"10",1.94118506407743,"a.PKR1","50"
"11",1.69165071063919,"a.PKR1","50"
"12",1.77318349341863,"a.PKR1","50"
"13",1.7591329491798,"a.PKR1","50"
"14",1.86910377535604,"a.PKR1","50"
"15",1.99210809474152,"a.PKR1","50"
"16",1.73532166595707,"a.PKR1","50"
"17",1.84339186539922,"a.PKR1","50"
"18",1.77275920169622,"a.PKR1","50"
"19",1.62914129734388,"a.PKR1","50"
"20",1.64975306237139,"a.PKR1","50"
"21",1.71467126725602,"a.PKR1","50"
"22",1.82216002764592,"a.PKR1","50"
"23",1.68876749974669,"a.PKR1","50"
"24",1.59550384153721,"a.PKR1","50"
"25",1.86318434718527,"a.PKR1","50"
"26",1.62027935064065,"a.PKR1","50"
"27",1.88080138401939,"a.PKR1","50"
"28",1.59269520243501,"a.PKR1","50"
"29",1.74924075175288,"a.PKR1","50"
"30",1.88909141245178,"a.PKR1","50"
"31",1.85375117738541,"a.PKR1","50"
"32",1.79672011886572,"a.PKR1","50"
"33",1.6299514764273,"a.PKR1","50"
"34",1.68312315069908,"a.PKR1","50"
"35",1.73631100673185,"a.PKR1","50"
"36",1.81361162932085,"a.PKR1","50"
"37",1.98337393053305,"a.PKR1","50"
"38",1.65330825411826,"a.PKR1","50"
"39",1.76749810500576,"a.PKR1","50"
"40",1.68843288856019,"a.PKR1","50"
"41",1.8053353450601,"a.PKR1","50"
"42",1.70449314064802,"a.PKR1","50"
"43",1.64072507169998,"a.PKR1","50"
"44",1.69763108394043,"a.PKR1","50"
"45",1.76345482276412,"a.PKR1","50"
"46",1.8280912519939,"a.PKR1","50"
"47",1.67270203508155,"a.PKR1","50"
"48",1.79197130999986,"a.PKR1","50"
"49",1.69642530355474,"a.PKR1","50"
"50",1.64695400641834,"a.PKR1","50"
"51",1.94873562587688,"a.PKR1","50"
"52",1.73956295188754,"a.PKR1","50"
"53",1.6533207634357,"a.PKR1","50"
"54",1.83859498319986,"a.PKR1","50"
"55",1.73203144094829,"a.PKR1","50"
"56",1.85161761581912,"a.PKR1","50"
"57",1.66255691430611,"a.PKR1","50"
"58",1.76615578599417,"a.PKR1","50"
"59",1.67818391938117,"a.PKR1","50"
"60",1.81829718861288,"a.PKR1","50"
"61",1.57905072400712,"a.PKR1","50"
"62",1.60711974557856,"a.PKR1","50"
"63",1.71959201661868,"a.PKR1","50"
"64",1.72441757288031,"a.PKR1","50"
"65",1.88334580044708,"a.PKR1","50"
"66",1.66195838210223,"a.PKR1","50"
"67",1.70539710068032,"a.PKR1","50"
"68",1.6931153714548,"a.PKR1","50"
"69",1.81127443938056,"a.PKR1","50"
"70",1.58420640243252,"a.PKR1","50"
"71",1.73931951398127,"a.PKR1","50"
