"","RMSE","method","number"
"1",3.27924396881785,"a.PKR1","50"
"2",3.06594404484099,"a.PKR1","50"
"3",2.63584702411163,"a.PKR1","50"
"4",2.49524193260517,"a.PKR1","50"
"5",2.97888589497165,"a.PKR1","50"
"6",2.57075102631635,"a.PKR1","50"
"7",2.49617477353006,"a.PKR1","50"
"8",2.32513941531456,"a.PKR1","50"
"9",2.54581028190855,"a.PKR1","50"
"10",2.81035806885942,"a.PKR1","50"
"11",3.57565022996438,"a.PKR1","50"
"12",2.5736934318136,"a.PKR1","50"
"13",2.26176159462505,"a.PKR1","50"
"14",2.42423165933757,"a.PKR1","50"
"15",2.41346891655005,"a.PKR1","50"
"16",2.33463457143649,"a.PKR1","50"
"17",2.33157277080319,"a.PKR1","50"
"18",2.57349161964228,"a.PKR1","50"
"19",3.42498940911014,"a.PKR1","50"
"20",2.60640594294117,"a.PKR1","50"
"21",2.59630986881303,"a.PKR1","50"
"22",2.35850080075302,"a.PKR1","50"
"23",2.5826462002842,"a.PKR1","50"
"24",2.43996776222341,"a.PKR1","50"
"25",2.47052796694516,"a.PKR1","50"
"26",3.45085508488627,"a.PKR1","50"
"27",3.32389126444826,"a.PKR1","50"
"28",2.17321137087539,"a.PKR1","50"
"29",3.09152737904753,"a.PKR1","50"
"30",3.10063879373222,"a.PKR1","50"
"31",2.8666283159795,"a.PKR1","50"
"32",2.4695983891953,"a.PKR1","50"
"33",2.77263838291179,"a.PKR1","50"
"34",2.46278536857931,"a.PKR1","50"
"35",2.60630399257705,"a.PKR1","50"
"36",2.57994392843826,"a.PKR1","50"
"37",2.65480202656891,"a.PKR1","50"
"38",2.40536743734091,"a.PKR1","50"
"39",2.33201067772935,"a.PKR1","50"
"40",2.83401199982664,"a.PKR1","50"
"41",2.33256126804573,"a.PKR1","50"
"42",2.94013693350487,"a.PKR1","50"
"43",2.65764100742171,"a.PKR1","50"
"44",2.23113191810401,"a.PKR1","50"
"45",2.44448360170036,"a.PKR1","50"
"46",3.24261334891097,"a.PKR1","50"
"47",2.27602778658913,"a.PKR1","50"
"48",3.27114133965332,"a.PKR1","50"
"49",2.42004844114108,"a.PKR1","50"
"50",3.28966082139085,"a.PKR1","50"
"51",2.2924220950708,"a.PKR1","50"
"52",2.40184272004611,"a.PKR1","50"
"53",2.3428183414598,"a.PKR1","50"
"54",3.83726170441771,"a.PKR1","50"
"55",2.87393255602891,"a.PKR1","50"
"56",2.75302727525684,"a.PKR1","50"
"57",2.20990478000122,"a.PKR1","50"
"58",2.33864381013707,"a.PKR1","50"
"59",2.63654034812302,"a.PKR1","50"
"60",2.72709619685821,"a.PKR1","50"
"61",2.37257577365371,"a.PKR1","50"
"62",2.36573866396207,"a.PKR1","50"
"63",2.58519962815102,"a.PKR1","50"
"64",5.59385110353963,"a.PKR1","50"
"65",2.49504120648394,"a.PKR1","50"
"66",2.56566812829844,"a.PKR1","50"
"67",2.30503691382671,"a.PKR1","50"
"68",3.41804196051391,"a.PKR1","50"
"69",2.1168262608844,"a.PKR1","50"
"70",2.49977384752299,"a.PKR1","50"
"71",3.62122175885407,"a.PKR1","50"
"72",5.39782702245305,"a.PKR1","50"
"73",2.16290931377584,"a.PKR1","50"
"74",2.62647251833971,"a.PKR1","50"
"75",2.3549637756444,"a.PKR1","50"
"76",2.47031178287243,"a.PKR1","50"
"77",2.24315130502826,"a.PKR1","50"
"78",3.06940870731196,"a.PKR1","50"
"79",2.28490248625353,"a.PKR1","50"
"80",2.39255186870326,"a.PKR1","50"
"81",2.70655811898291,"a.PKR1","50"
"82",2.54908052022372,"a.PKR1","50"
"83",3.15653349672859,"a.PKR1","50"
"84",2.57664247108334,"a.PKR1","50"
"85",2.14342739620841,"a.PKR1","50"
"86",2.51379967750301,"a.PKR1","50"
"87",2.51066933097052,"a.PKR1","50"
"88",2.56727150396224,"a.PKR1","50"
"89",2.60167619779218,"a.PKR1","50"
"90",2.75152899874379,"a.PKR1","50"
"91",2.47123560770178,"a.PKR1","50"
"92",3.33948076975369,"a.PKR1","50"
"93",2.9312139604751,"a.PKR1","50"
"94",2.61773606270947,"a.PKR1","50"
"95",3.21685572277323,"a.PKR1","50"
"96",3.60840289217363,"a.PKR1","50"
"97",2.67412633999323,"a.PKR1","50"
"98",2.44047742012481,"a.PKR1","50"
"99",2.36176328009771,"a.PKR1","50"
"100",2.55233571387601,"a.PKR1","50"
"101",2.77822267589222,"i.PKR2","50"
"102",2.63573556719745,"i.PKR2","50"
"103",2.0439754023516,"i.PKR2","50"
"104",1.82407280302714,"i.PKR2","50"
"105",2.40505185371175,"i.PKR2","50"
"106",2.01600066348885,"i.PKR2","50"
"107",1.71476548705294,"i.PKR2","50"
"108",1.6048410801797,"i.PKR2","50"
"109",2.26859302432465,"i.PKR2","50"
"110",2.3685743420172,"i.PKR2","50"
"111",3.1923324934611,"i.PKR2","50"
"112",1.92511122091675,"i.PKR2","50"
"113",1.61723421562162,"i.PKR2","50"
"114",1.94039671313486,"i.PKR2","50"
"115",2.07352838301024,"i.PKR2","50"
"116",1.74809559310411,"i.PKR2","50"
"117",1.69273464822306,"i.PKR2","50"
"118",1.84272751384066,"i.PKR2","50"
"119",2.83746944841075,"i.PKR2","50"
"120",1.65409784232646,"i.PKR2","50"
"121",2.3474876910662,"i.PKR2","50"
"122",1.86026375154498,"i.PKR2","50"
"123",1.91283476974712,"i.PKR2","50"
"124",2.04474600884721,"i.PKR2","50"
"125",1.66043542071901,"i.PKR2","50"
"126",2.9448073808022,"i.PKR2","50"
"127",2.77005547547974,"i.PKR2","50"
"128",1.33775311626063,"i.PKR2","50"
"129",2.36731887310427,"i.PKR2","50"
"130",2.38197104530111,"i.PKR2","50"
"131",2.41937671978889,"i.PKR2","50"
"132",2.00249963160401,"i.PKR2","50"
"133",2.35660780657179,"i.PKR2","50"
"134",1.88031446066006,"i.PKR2","50"
"135",2.27890788614936,"i.PKR2","50"
"136",1.87298285767075,"i.PKR2","50"
"137",1.95756995536317,"i.PKR2","50"
"138",1.69390237175709,"i.PKR2","50"
"139",1.54197593139318,"i.PKR2","50"
"140",1.90100993304945,"i.PKR2","50"
"141",1.71948682387663,"i.PKR2","50"
"142",2.39343615523254,"i.PKR2","50"
"143",2.02161989310413,"i.PKR2","50"
"144",1.69373986788325,"i.PKR2","50"
"145",1.83045809408052,"i.PKR2","50"
"146",3.00162667523836,"i.PKR2","50"
"147",1.56029399211064,"i.PKR2","50"
"148",2.93446979462023,"i.PKR2","50"
"149",1.75010417495197,"i.PKR2","50"
"150",2.79013401815991,"i.PKR2","50"
"151",1.62299776935944,"i.PKR2","50"
"152",1.84858194643635,"i.PKR2","50"
"153",1.33434148349764,"i.PKR2","50"
"154",3.4138970172178,"i.PKR2","50"
"155",2.280948038409,"i.PKR2","50"
"156",2.40895158291356,"i.PKR2","50"
"157",1.49345112254773,"i.PKR2","50"
"158",1.64032937627728,"i.PKR2","50"
"159",2.0673941012059,"i.PKR2","50"
"160",2.06035845474334,"i.PKR2","50"
"161",1.57494327166945,"i.PKR2","50"
"162",1.85906424245276,"i.PKR2","50"
"163",2.01810449303848,"i.PKR2","50"
"164",5.26204052569539,"i.PKR2","50"
"165",1.65964656383809,"i.PKR2","50"
"166",2.06454402592732,"i.PKR2","50"
"167",1.75724231010166,"i.PKR2","50"
"168",3.06354692033146,"i.PKR2","50"
"169",1.47694318788694,"i.PKR2","50"
